Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Peugeot,5008,2.0 bluehdi,2020,Diesel,Mpv,Gray,San Maurizio Canavese,Automatic,https://www.trova-automobile.it/auto/annuncio/peugeot-5008-bluehdi-180-ss-eat8-gt-7-posti-diesel/1/20505772,6,26500,159000,131.0,Italy
Volvo,Xc40,1.5 T3,2021,Petrol,Crossover,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/volvo-xc40-t3-geartronic-momentum-pro-benzina/1/20413163,6,33900,12000,121.0,Italy
Abarth,595,1.4 turismo,2019,Petrol,Coupe,White,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/abarth-595-14-turbo-t-jet-165-cv-turismo-benzina/1/20504936,6,16800,74000,123.0,Italy
Mini,One,1.6,2021,Petrol,Mini,Black,Rovigo,Automatic,https://www.trova-automobile.it/auto/annuncio/mini-one-15-one-led-pack-luci-rl-17-neri-benzina/1/20511309,6,18650,54695,76.0,Italy
Jeep,Compass,2.0,2019,Diesel,Crossover,Gray,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/jeep-compass-20-multijet-ii-aut-4wd-limited-diesel/1/20314315,6,23900,37152,104.0,Italy
Jaguar,F-Pace,5.0,2021,Diesel,Crossover,Black,Agliana,Automatic,https://www.trova-automobile.it/auto/annuncio/jaguar-f-pace-20-d-180-cv-awd-aut-prestige-diesel/1/20227065,6,38900,57200,134.0,Italy
Cupra,Formentor,1.4,2021,Petrol,Crossover,Black,Brescia,Automatic,https://www.trova-automobile.it/auto/annuncio/cupra-formentor-14-e-hybrid-plug-in-dsg-pelle-led-un-proprietario-elettrica/1/20468857,6,29900,41654,152.0,Italy
Land Rover,Evoque,2.0,2018,Diesel,Suv,White,San Maurizio Canavese,Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-evoque-20-td4-180-cv-5p-pure-euro-6b-diesel/1/20505907,6,22000,114000,134.0,Italy
Mercedes Benz,Cls-Class,3.0 320,2007,Diesel,Sedan,Silver,Avellino,Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-cls-320-cdi-sport-navigatorepellexeno-diesel/1/20213162,4,9490,165480,167.0,Italy
Bmw,X1,sDrive18d,2018,Diesel,Suv,Blue,Iseo,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-x1-sdrive18d-xline-automaticatettopellenavigatore-diesel/1/20440567,6,20900,143960,111.0,Italy
Fiat,500,1.2,2020,Petrol,Mini,Gray,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/fiat-500-12-dualogic-rockstar-tetto-apribilecarplay-benzina/1/20487132,6,16400,20000,51.0,Italy
Audi,Q2,1.5 35,2021,Petrol,Crossover,Silver,Rovigo,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q2-35-tfsi-s-tronic-admired-acc-led-navi-benzina/1/20375516,6,31900,29415,111.0,Italy
Land Rover,Discovery Sport,2.0,2019,Diesel,Suv,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-discovery-sport-20-td4-150-cv-hse-luxury-auto-diesel/1/20311763,6,30700,64000,111.0,Italy
Bmw,X5,xDrive30d,2020,Diesel,Suv,Blue,Parma,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-x5-xdrive30d-msport-m-sport-iva-esposta-diesel/1/20492063,6,55800,69000,197.0,Italy
Jeep,Renegade,2.0,2020,Diesel,Crossover,White,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/jeep-renegade-20-mjt-140cv-4wd-s-tettopelleledkenwood-diesel/1/20428578,6,26900,49167,104.0,Italy
Mercedes Benz,Glc-Class,2.0 300 4matic,2021,Diesel,Suv,Blue,San Maurizio Canavese,Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-glc-300-d-4matic-premium-diesel/1/20505998,6,43900,123500,182.0,Italy
Toyota,86,2.0,2012,Petrol,Coupe,Red,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/toyota-gt86-20-1st-edition-numerata-2886-pochikm-benzina/1/20505845,5,25900,41400,149.0,Italy
Mazda,Cx-30,1.8,2021,Diesel,Crossover,Red,Brescia,Automatic,https://www.trova-automobile.it/auto/annuncio/mazda-cx-30-18l-skyactiv-d-executive-led-unico-proprietario-diesel/1/20455631,6,19900,69000,86.0,Italy
Bmw,3 Series,2.0 320,2007,Petrol,Coupe,Gray,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/bmw-320-i-cat-coupe-futura-benzina/1/20505021,4,10000,174000,126.0,Italy
Alfa Romeo,Stelvio,2.0,2018,Petrol,Crossover,Gray,San Maurizio Canavese,Automatic,https://www.trova-automobile.it/auto/annuncio/alfa-romeo-stelvio-20-turbo-200-cv-at8-q4-executive-benzina/1/20505982,6,29200,56000,149.0,Italy
Renault,Kadjar,1.5 dCi,2020,Diesel,Suv,Gray,Brindisi,Automatic,https://rmauto.it/annuncio/renault-kadjar-blue-dci-8v-115-cv-sport-edition2/1333133,6,16900,105000,86.0,Italy
Ford,Ranger,2.2 D,2013,Diesel,Pickup,Black,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/ford-ranger-22-tdci-doppia-cabina-xlt-5pt-autocarro-diesel/1/20505930,5,20400,123000,111.0,Italy
Jeep,Compass,1.6 multijet,2020,Diesel,Crossover,Red,Torino,Manual,https://www.trova-automobile.it/auto/annuncio/jeep-compass-16-multijet-ii-2wd-limited-diesel/1/20258978,6,21400,36767,89.0,Italy
Peugeot,2008,1.5 bluehdi,2022,Diesel,Crossover,Silver,Rovigo,Automatic,https://www.trova-automobile.it/auto/annuncio/peugeot-2008-bluehdi-110-ss-allure-pack-diesel/1/20263946,6,23950,21592,82.0,Italy
Jeep,Compass,1.6 multijet,2018,Diesel,Crossover,Gray,Nuoro,Automatic,https://www.trova-automobile.it/auto/annuncio/jeep-compass-20-multijet-ii-4wd-limited-autogancio-traino-diesel/1/20528275,6,21000,129000,104.0,Italy
Lancia,Ypsilon,1.2,2020,Petrol,Hatchback,Black,Torino,Manual,https://www.trova-automobile.it/auto/annuncio/lancia-ypsilon-12-gold-ss-69cv-my19-benzina/1/20199178,6,12400,59830,51.0,Italy
Ford,Ranger,2.8,2019,Diesel,Pickup,Silver,Monza,Automatic,https://www.trova-automobile.it/auto/annuncio/ford-ranger-32-tdci-aut-dc-wildtrak-5-posti-uniproprietario-diesel/1/20453565,6,26990,132000,149.0,Italy
Audi,Q5,2.0 35,2020,Diesel,Suv,Silver,Torino,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q5-35-20-tdi-quattro-163cv-s-tronic-diesel/1/20351976,6,31900,71819,121.0,Italy
Maserati,Levante,3.0,2021,Petrol,Suv,Gray,Caorle,Automatic,https://www.trova-automobile.it/auto/annuncio/maserati-levante-v6-350cv-awd-gransport-benzina/1/20503793,6,49400,42250,260.0,Italy
Bmw,7 Series,730d,2012,Diesel,Sedan,Gray,Calcinato,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-730-d-futura-service-bmw-tetto-garanzia-diesel/1/20535998,5,17900,200900,182.0,Italy
Porsche,Macan,2.0,2022,Petrol,Suv,Black,Pompei,Automatic,https://www.trova-automobile.it/auto/annuncio/porsche-macan-20-benzina/1/20548998,6,72999,10720,197.0,Italy
Audi,Q3,2.0 TFSI Quattro,2013,Petrol,Crossover,Gray,Verona,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q3-20-tfsi-quattro-s-tronic-advanced-s-line-benzina/1/20520810,5,17800,95000,126.0,Italy
Volvo,Xc40,1.5 T3,2020,Petrol,Crossover,Black,San Benedetto Del Tronto,Manual,https://www.trova-automobile.it/auto/annuncio/volvo-xc40-t3-inscription-navi-tetto-panorama-carplay-benzina/1/20517565,6,29890,34000,121.0,Italy
Opel,Antara,2.2 cdti,2014,Diesel,Crossover,White,Cologno Monzese,Manual,https://www.trova-automobile.it/auto/annuncio/opel-antara-22-cdti-163cv-startstop-4x2-cosmo-diesel/1/20411079,6,7500,152591,121.0,Italy
Audi,Q3,2.0 35 TDI,2023,Diesel,Crossover,Black,Alcamo,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q3-35-tdi-s-tronic-s-line-edition-diesel/1/20338015,6,44990,17000,111.0,Italy
Fiat,500l,1.3 mjet,2013,Diesel,Mpv,Green,Giarre,Manual,https://www.trova-automobile.it/auto/annuncio/fiat-500l-16-multijet-105-cv-lounge-diesel/1/20473269,5,8900,170000,78.0,Italy
Land Rover,Range Rover Sport,3.0 SDV6,2015,Diesel,Suv,Gray,Buccinasco,Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-sport-30-sdv6-autobiography-dynamic-motore-sostituito-diesel/1/20158799,6,29900,137960,228.0,Italy
Nissan,Qashqai,1.5 dCi,2017,Diesel,Crossover,White,Cologno Monzese,Manual,https://www.trova-automobile.it/auto/annuncio/nissan-qashqai-15-dci-n-connecta-diesel/1/20411078,6,18000,76408,82.0,Italy
Land Rover,Evoque,2.2,2012,Diesel,Suv,White,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-evoque-22-td4-5p-pure-diesel/1/20546849,5,12900,154000,111.0,Italy
Audi,A1,1.0 30 TFSI,2023,Petrol,Mini,Gray,Savigliano,Manual,https://www.trova-automobile.it/auto/annuncio/audi-a1-spb-30-tfsi-s-line-17-slinenav-car-playfull-led-benzina/1/20546836,6,25700,14200,82.0,Italy
Porsche,Macan,2.0,2021,Petrol,Suv,Black,Imola,Automatic,https://www.trova-automobile.it/auto/annuncio/porsche-macan-20-aut---navi---led---tetto---pasm---21-benzina/1/20549405,6,59900,51000,182.0,Italy
Porsche,Macan,2.0,2021,Petrol,Suv,Gray,Benevento,Automatic,https://www.trova-automobile.it/auto/annuncio/porsche-macan-20-245-cv-pdk-garantita12mesi-benzina/1/20513620,6,60500,43000,182.0,Italy
Audi,A4,2.0 g-Tron,2019,Petrol,Wagon,Silver,Concesio,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-a4-avant-40-g-tron-s-tronic-business-benzinametano/1/20498321,6,18200,186000,126.0,Italy
Audi,Q5,2.0 40,2019,Diesel,Suv,White,Agliana,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q5-40-tdi-quattro-s-tronic-business-sport-diesel/1/20306822,6,30500,89369,140.0,Italy
Audi,Q5,2.0 40,2019,Diesel,Suv,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q5-40-tdi-quattro-s-tronic-s-line-plus-look-nero-diesel/1/20162278,6,39900,38000,141.0,Italy
Fiat,500 X,1.3 multijet,2023,Diesel,Crossover,Black,Treviglio,Manual,https://www.trova-automobile.it/auto/annuncio/fiat-500x-13-multijet-95-cv-sport-diesel/1/20528938,6,19950,29244,70.0,Italy
Volkswagen,Tiguan,2.0 TSI 4Motion,2021,Petrol,Crossover,Blue,Milano,Automatic,https://www.trova-automobile.it/auto/annuncio/volkswagen-tiguan-20-tsi-r-dsg-4motion-benzina/1/20313582,6,46800,38500,238.0,Italy
Peugeot,3008,1.5 bluehdi,2018,Diesel,Crossover,Black,Cervignano Del Friuli,Manual,https://www.trova-automobile.it/auto/annuncio/peugeot-3008-bluehdi-130-ss-business-diesel/1/20263319,6,16900,109000,110.0,Italy
Hummer,H3,3.7 Luxury,2009,Petrol,Suv,Black,Firenze,Automatic,https://www.trova-automobile.it/auto/annuncio/hummer-h3-53-v8-aut-luxury--gpl--benzina/1/20355219,5,23900,207000,227.0,Italy
Peugeot,3008,1.5 bluehdi,2019,Diesel,Crossover,White,Este,Manual,https://www.trova-automobile.it/auto/annuncio/peugeot-3008-bluehdi-130-ss-business-diesel/1/20284944,6,17490,123000,97.0,Italy
Jeep,Compass,1.6 multijet,2018,Diesel,Crossover,White,Padova,Manual,https://www.trova-automobile.it/auto/annuncio/jeep-compass-16-multijet-ii-2wd-limitedtetto-apribile-c19-diesel/1/20292736,6,23490,26725,89.0,Italy
Peugeot,2008,1.5 bluehdi,2020,Diesel,Crossover,White,Desenzano Del Garda,Automatic,https://www.trova-automobile.it/auto/annuncio/peugeot-2008-bluehdi-130-ss-eat8-gt-line-diesel/1/20407184,6,20500,114950,97.0,Italy
Mercedes Benz,Gle-Class,350 4MATIC,2021,Diesel,Suv,Silver,Carovigno,Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-gle-350-de-4matic-eq-power-premium-plus-tetto-pack-night-elettricadiesel/1/20526705,6,55900,129931,238.0,Italy
Land Rover,Evoque,2.0,2019,Diesel,Suv,White,Magione,Manual,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-evoque-20-td4-150-cv-mhv-r-dynamic-finanziabile-diesel/1/20508921,6,30900,105000,111.0,Italy
Volkswagen,Touareg,3.0,2014,Diesel,Suv,Gray,Prato,Automatic,https://www.trova-automobile.it/auto/annuncio/volkswagen-touareg-30-tdi-204-cv-tiptronic-exec-tetto-km-certific-diesel/1/20530286,6,26500,140000,152.0,Italy
Lancia,Thesis,2.4 JTD,2008,LPG,Sedan,Blue,Verona,Automatic,https://www.trova-automobile.it/auto/annuncio/lancia-thesis-24-jtd-20v-aut-executive-gpl/1/20412767,4,6000,133000,137.0,Italy
Bmw,3 Series,316d,2023,Diesel,Wagon,Gray,Brescia,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-316-nuova-serie-3-touring-48v-msport-pelle-led-elettricadiesel/1/20252463,6,44900,7042,90.0,Italy
Ford,Focus,1.5 EcoBlue,2020,Diesel,Wagon,White,Este,Automatic,https://www.trova-automobile.it/auto/annuncio/ford-focus-15-ecoblue-120-cv-aut-sw-business-co-pilot-diesel/1/20251963,6,12890,149890,89.0,Italy
Mercedes Benz,Sl-Class,3.0 280 sl,2008,Petrol,Convertible,Black,San Benedetto Del Tronto,Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-sl-280-cat-sport-benzina/1/20510930,4,28990,154500,172.0,Italy
Opel,Mokka,1.2,2022,Petrol,Crossover,Black,Rovigo,Manual,https://www.trova-automobile.it/auto/annuncio/opel-mokka-12-turbo-gs-line-benzina/1/20448380,6,22900,10442,75.0,Italy
Fiat,500 X,1.3 multijet,2022,Diesel,Crossover,Black,Treviglio,Manual,https://www.trova-automobile.it/auto/annuncio/fiat-500x-13-multijet-95-cv-club-car-playruota-diesel/1/20282634,6,15950,37440,70.0,Italy
Toyota,C-Hr,1.8,2023,Petrol,Suv,White,Cinisello Balsamo,Automatic,https://www.trova-automobile.it/auto/annuncio/toyota-c-hr-18-hybrid-e-cvt-active-prezzo-promo-elettricabenzina/1/20491337,6,24490,8100,90.0,Italy
Opel,Insignia,1.6 cdti,2017,Diesel,Wagon,Silver,Udine,Automatic,https://www.trova-automobile.it/auto/annuncio/opel-insignia-16-cdti-136cv-sports-tourer-aut-cosmo-diesel/1/20423986,6,10400,148000,101.0,Italy
Audi,A8,3.0 50 TDI quattro,2020,Diesel,Sedan,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-a8-50tdi-quattro-pre-riscaldamento-4-zone-360-elettricadiesel/1/20369128,6,54900,59900,213.0,Italy
Bmw,3 Series,320d xDrive,2022,Diesel,Wagon,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-320-d-48v-xdrive-touring-m-sport-laser-head-up-shadow-elettricadiesel/1/20394979,6,37990,59900,141.0,Italy
Land Rover,Range Rover Sport,3.0 TDV6,2016,Diesel,Suv,Green,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-sport-30-tdv6-hse-diesel/1/20408733,6,28400,99100,185.0,Italy
Jaguar,F-Type,5.0 V8,2020,Petrol,Convertible,Green,Agliana,Automatic,https://www.trova-automobile.it/auto/annuncio/jaguar-f-type-20-aut-convertibile-r-dynamic-benzina/1/20501432,6,60950,27477,224.0,Italy
Peugeot,5008,2.0 bluehdi,2020,Diesel,Mpv,White,Pavia,Automatic,https://www.trova-automobile.it/auto/annuncio/peugeot-5008-bluehdi-180-ss-eat8-gt-diesel/1/20368675,6,18490,143000,131.0,Italy
Opel,Mokka,1.2,2021,Petrol,Crossover,Green,Verona,Automatic,https://www.trova-automobile.it/auto/annuncio/opel-mokka-12-turbo-130-cv-edition-bi-color-benzina/1/20525273,6,20000,33000,97.0,Italy
Audi,Q8,3.0 50 TDI quattro,2022,Diesel,Suv,Black,Alcamo,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q8-50-tdi-286-cv-quattro-tiptronic-sport-diesel/1/20361242,6,75990,82000,213.0,Italy
Fiat,500 X,1.3,2021,Diesel,Crossover,Gray,Treviglio,Automatic,https://www.trova-automobile.it/auto/annuncio/fiat-500x-13-t4-150-cv-dct-connect-benzina/1/20431706,6,16950,40224,111.0,Italy
Bmw,7 Series,730d,2020,Diesel,Sedan,Blue,Como,Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-730-d-diesel/1/20412848,6,57900,59000,197.0,Italy
Peugeot,3008,1.2 puretech,2020,Petrol,Crossover,Gray,San Maurizio Canavese,Manual,https://www.trova-automobile.it/auto/annuncio/peugeot-3008-puretech-turbo-130-ss-allure-benzina/1/20505732,6,21400,67500,97.0,Italy
Dr,5.0,1.5,2022,LPG,Crossover,Blue,Monza,Manual,https://www.trova-automobile.it/auto/annuncio/dr-motor-dr-50-15-116cv-bi-fuel-gpl---azzurra---km-50966---full-benzinagpl/1/20376630,6,19500,50966,86.0,Italy
Mazda,Mx-5 Miata,1.8,2012,Petrol,Convertible,Black,Rende,Manual,https://www.trova-automobile.it/auto/annuncio/mazda-mx-5-roadster-coupe-18l-fire-benzina/1/20392118,5,16900,109000,93.0,Italy
Audi,A6,2.0 40 TDI quattro,2022,Diesel,Wagon,Black,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-a6-avant-40tdi-quattro-sport-navi-led-elettricadiesel/1/20461588,6,38900,19800,152.0,Italy
Volvo,V70,2.4,2010,Diesel,Wagon,White,Brescia,Automatic,https://www.trova-automobile.it/auto/annuncio/volvo-v70-24-d5-geartronic-kinetic-diesel/1/20431174,5,9900,201547,152.0,Italy
Audi,Q8,3.0 50 quattro tdi,2021,Diesel,Suv,Black,San Maurizio Canavese,Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q8-50-tdi-mhev-quattro-tiptronic-sport-s-line-full-elettricadiesel/1/20547407,6,73700,77500,213.0,Italy
Renault,Twingo,1.0 SCe,2020,Petrol,Mini,White,Torino,Manual,https://www.trova-automobile.it/auto/annuncio/renault-twingo-10-sce-intens-65cv-benzina/1/20213379,6,10400,52723,48.0,Italy
Volkswagen,Tiguan,2.0 TDI 4Motion,2017,Diesel,Crossover,White,Nuoro,Manual,https://www.trova-automobile.it/auto/annuncio/volkswagen-tiguan-20-tdi-scr-dsg-4motion-r-line-km-certif-diesel/1/20530271,6,26500,166000,111.0,Italy
Seat,Ateca,1.6 TDI,2018,Diesel,Suv,Gray,Brescia,Manual,https://www.trova-automobile.it/auto/annuncio/seat-ateca-16-tdi-ecomotive-xcellence-navi-fari-led-diesel/1/20209875,6,17900,124414,86.0,Italy
Volvo,Xc90,2.4 D5 AWD,2007,Diesel,Suv,Gray,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/volvo-xc90-24-d5-185-cv-aut-awd-executive-finanziabile-diesel/1/20382689,4,7900,205000,137.0,Italy
Mercedes Benz,Cl-Class,500,2007,Petrol,Coupe,Black,Moncalieri,Automatic,https://www.cuboauto.it/annunci/auto-usata-mercedes-benz-cl-500-8032080.html,4,16900,241841,287.0,Italy
Mercedes Benz,Glc-Class,300 4MATIC,2022,Diesel,Suv,Silver,Alcamo,Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-glc-300-d-4matic-premium-diesel/1/20210449,6,45990,99000,182.0,Italy
Alfa Romeo,Stelvio,2.9,2021,Petrol,Crossover,White,San Miniato,Automatic,https://www.trova-automobile.it/auto/annuncio/alfa-romeo-stelvio-netto-for-export-57275-benzina/1/20496620,6,69900,35908,380.0,Italy
Alfa Romeo,Stelvio,2.9,2021,Petrol,Crossover,Blue,Roma,Automatic,https://www.trova-automobile.it/auto/annuncio/alfa-romeo-stelvio-29-bi-turbo-510-cv-at8-quadrifoglio-performance-benzina/1/20435149,6,52900,24200,380.0,Italy
Kia,Venga,1.4,2014,LPG,Mini,White,Giarre,Manual,https://www.trova-automobile.it/auto/annuncio/kia-venga-14-ecogpl-cool-benzinagpl/1/20475680,6,8500,105000,67.0,Italy
Jeep,Renegade,1.0 Limited,2021,Petrol,Crossover,Silver,Torino,Manual,https://www.trova-automobile.it/auto/annuncio/jeep-renegade-10-t3-limited-2wd-benzina/1/20382982,6,18900,52896,89.0,Italy
Kia,Sportage,1.7 CRDi,2016,Diesel,Crossover,White,Gallipoli,Automatic,https://www.trova-automobile.it/auto/annuncio/kia-sportage-17-crdi-2wd-class-diesel/1/20522132,6,15990,140000,86.0,Italy
Volkswagen,Passat,2.0,2017,Diesel,Wagon,Black,Santa Maria Di Sala,Automatic,https://www.trova-automobile.it/auto/annuncio/volkswagen-passat-business-alltrack-20-bitdi-240-cv-4mot-dsg-exec-diesel/1/20523198,6,24900,131000,178.0,Italy
Mitsubishi,Outlander,2.3 did,2016,Diesel,Suv,Black,Pavia,Manual,https://www.trova-automobile.it/auto/annuncio/mitsubishi-outlander-22-di-d-4wd-instyle-7p-gancio-traino-euro-6-diesel/1/20295956,6,17850,120000,111.0,Italy
