Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"15,499 EUR",Volkswagen,Sharan,2.0 TDI,"182,000 km",2013,Diesel,5,Van,Gray,Braunau Am Inn,104 kW (141 HP),Manual,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-grau-oberoesterreich/details-1199590
"8,900 EUR",Audi,A6,2.7,"250,000 km",2009,Diesel,5,Sedan,Silver,Salzburg,141 kW (192 HP),Manual,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-silber-salzburg/details-1197597
"25,999 EUR",Porsche,Cayenne,3.0 diesel,"256,000 km",2011,Diesel,5,Suv,Black,Braunau Am Inn,182 kW (248 HP),Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217220
"18,790 EUR",Volkswagen,Passat,2.0 TDI SCR,"94,187 km",2019,Diesel,6,Wagon,Silver,Wolfsberg,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-kaernten/details-1231723
"18,990 EUR",Volkswagen,Passat,2.0 TDI SCR,"77,167 km",2019,Diesel,6,Wagon,Black,Wels,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/4633600081
"7,990 EUR",Alfa Romeo,Giulietta,1.4,"166,300 km",2012,Petrol,5,Sedan,Red,Linz,126 kW (171 HP),Automatic,https://www.zweispurig.at/alfa-romeo-giulietta-gebrauchtwagen-benzin-rot-oberoesterreich/details-1205801
"9,900 EUR",Bmw,X3,D,"179,000 km",2005,Diesel,4,Suv,Silver,Linz,162 kW (220 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-silber-oberoesterreich/details-1220739
"17,850 EUR",Ford,Mondeo,2.0 TDCi,"107,000 km",2018,Diesel,,Wagon,Gray,Steyr,111 kW (151 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-business-plus-2-0-tdci-aut-led-navi-diesel/106f11e7-427c-42f8-81e0-9614a5cb44d8
"17,850 EUR",Ford,Mondeo,2.0 TDCi,"105,000 km",2018,Diesel,,Wagon,White,Steyr,111 kW (151 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-traveller-2-0-tdci-aut-led-navi-pdc-diesel/b281dd27-93a3-4e09-88e9-9b8d91a44f89
"18,450 EUR",Volkswagen,Sharan,2.0 TDI,"159,000 km",2015,Diesel,6,Van,Black,Salzburg,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700
"9,940 EUR",Peugeot,2008,1.6 HDi,"126,116 km",2015,Diesel,6,Crossover,Gray,Amstetten,89 kW (121 HP),Manual,https://www.zweispurig.at/peugeot-2008-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230340
"10,499 EUR",Mercedes Benz,C-Class,220 CDI,"221,000 km",2010,Diesel,5,Sedan,Black,Braunau Am Inn,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1202599
"15,900 EUR",Jeep,Renegade,2.0,"160,000 km",2015,Diesel,6,Crossover,White,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809
"19,950 EUR",Bmw,X3,xDrive20d,"148,000 km",2012,Diesel,,Suv,Black,Lustenau,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758
"11,999 EUR",Mercedes Benz,C-Class,220 CDI,"221,000 km",2011,Diesel,5,Sedan,Black,Braunau Am Inn,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590
"15,490 EUR",Hyundai,I30,1.0,"53,200 km",2019,Petrol,,Wagon,Brown,Linz,89 kW (121 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html
